round,file,fitness,instructions,normalized_fitness
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_0.S,0.0,2,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_1.S,0.0,37,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_10.S,0.0,6,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_11.S,0.35,14,0.1206896551724137
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_12.S,0.2,17,0.0689655172413793
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_13.S,0.0,0,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_14.S,0.0,9,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_15.S,0.0,52,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_16.S,0.0,15,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_17.S,0.0,12,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_18.S,0.0,60,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_19.S,0.0,4,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_2.S,0.0,31,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_20.S,0.0,8,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_21.S,0.0,64,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_22.S,0.0,4,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_23.S,0.0,1,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_24.S,0.0,0,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_25.S,0.0,6,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_26.S,0.0,1,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_27.S,0.0,35,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_28.S,0.0,32,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_29.S,0.0,1,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_3.S,0.0,55,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_30.S,0.0,6,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_31.S,0.0,22,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_32.S,0.0,0,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_33.S,0.0,8,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_34.S,0.0,42,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_35.S,0.0,9,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_36.S,0.0,0,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_37.S,0.7,36,0.2413793103448275
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_38.S,0.0,8,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_39.S,0.0,5,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_4.S,0.0,0,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_40.S,0.0,12,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_41.S,0.0,9,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_42.S,0.0,6,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_43.S,0.0,17,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_44.S,0.0,59,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_45.S,0.0,0,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_46.S,0.0,11,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_47.S,0.0,8,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_48.S,0.0,0,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_49.S,0.0,35,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_5.S,0.0,17,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_50.S,0.0,14,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_51.S,0.0,4,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_52.S,0.0,15,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_53.S,0.0,4,0.0
1,/home/mda/study/hse/myfuzz/cov_metrics/vectors/input_54.S,0.0,96,0.0
